Australian Open - Melbourne ,14.01.03 ,Xavier Malisse ,Dominik Hrbaty ,3 ,0 ,6 ,6 ,6 , , ,2 ,3 ,2 , ,
Australian Open - Melbourne ,14.01.03 ,Jose Acasuso ,Gregory Carraz ,1 ,0 ,5 ,4 , , , ,7 ,3 , , ,
Australian Open - Melbourne ,14.01.03 ,Antony Dupuis ,Jacobo Diaz-Ruiz ,3 ,0 ,6 ,6 ,6 , , ,4 ,3 ,3 , ,
Australian Open - Melbourne ,14.01.03 ,Lars Burgsmuller ,Juan-Manuel Balcells ,3 ,0 ,6 ,7 ,7 , , ,4 ,5 ,5 , ,
Australian Open - Melbourne ,14.01.03 ,Todd Larkham ,Cecil Mamiit ,3 ,1 ,6 ,6 ,7 ,6 , ,7 ,3 ,6 ,4 ,
Australian Open - Melbourne ,14.01.03 ,Adrian Voinea ,Andre Sa ,3 ,0 ,6 ,7 ,6 , , ,2 ,6 ,4 , ,
Australian Open - Melbourne ,14.01.03 ,Jaymon Crabb ,Andrew Ilie ,3 ,1 ,6 ,3 ,7 ,6 , ,3 ,6 ,6 ,4 ,
Australian Open - Melbourne ,14.01.03 ,Radek Stepanek ,Kenneth Carlsen ,3 ,0 ,6 ,7 ,6 , , ,0 ,5 ,1 , ,
Australian Open - Melbourne ,14.01.03 ,Feliciano Lopez ,Alex Corretja ,3 ,1 ,6 ,7 ,7 ,6 , ,7 ,6 ,6 ,3 ,
Australian Open - Melbourne ,14.01.03 ,Vadim Kutsenko ,Ivan Ljubicic ,3 ,2 ,6 ,6 ,1 ,4 ,6 ,3 ,4 ,6 ,6 ,3
Australian Open - Melbourne ,14.01.03 ,James Blake ,Jiri Vanek ,3 ,0 ,7 ,6 ,6 , , ,6 ,4 ,4 , ,
Australian Open - Melbourne ,14.01.03 ,Juan Ignacio Chela ,Karol Beck ,3 ,1 ,6 ,3 ,6 ,6 , ,4 ,6 ,1 ,0 ,
Australian Open - Melbourne ,14.01.03 ,Fernando Gonzalez ,Julien Varlet ,3 ,2 ,6 ,3 ,4 ,6 ,6 ,2 ,6 ,6 ,3 ,4
Australian Open - Melbourne ,14.01.03 ,Joseph Sirianni ,Max Mirnyi ,3 ,0 ,6 ,6 ,6 , , ,3 ,4 ,4 , ,
Australian Open - Melbourne ,14.01.03 ,David Nalbandian ,Jerome Golmard ,1 ,0 ,3 ,6 ,6 , , ,6 ,3 ,1 , ,
Australian Open - Melbourne ,14.01.03 ,Robby Ginepri ,Marc Rosset ,3 ,0 ,6 ,6 ,6 , , ,3 ,4 ,2 , ,
Australian Open - Melbourne ,14.01.03 ,Albert Montanes ,Mariano Puerta ,3 ,0 ,6 ,6 ,6 , , ,2 ,4 ,4 , ,
Australian Open - Melbourne ,14.01.03 ,Julian Knowle ,Ryan Henry ,3 ,1 ,5 ,6 ,6 ,7 , ,7 ,4 ,2 ,5 ,
Australian Open - Melbourne ,15.01.03 ,Andre Agassi ,Hyung-Taik Lee ,3 ,0 ,6 ,6 ,6 , , ,1 ,0 ,0 , ,
Australian Open - Melbourne ,15.01.03 ,Juan Carlos Ferrero ,Jean-Rene Lisnard ,3 ,0 ,6 ,6 ,6 , , ,0 ,4 ,2 , ,
Australian Open - Melbourne ,15.01.03 ,Sebastien Grosjean ,Karol Kucera ,3 ,1 ,7 ,2 ,6 ,7 , ,6 ,6 ,3 ,6 ,
